,SymbolA,SymbolB,pair
3003248,TIFAB,WFDC10A,TIFAB__WFDC10A
3003249,WFDC10B,TIFAB,TIFAB__WFDC10B
3003250,WFDC13,TIFAB,TIFAB__WFDC13
3003251,WFDC3,TIFAB,TIFAB__WFDC3
3003252,WFDC9,TIFAB,TIFAB__WFDC9
3003253,TIFAB,WFIKKN2,TIFAB__WFIKKN2
3003254,XKR3,TIFAB,TIFAB__XKR3
3003255,XKRY,TIFAB,TIFAB__XKRY
3003256,XPNPEP2,TIFAB,TIFAB__XPNPEP2
3003257,XRRA1,TIFAB,TIFAB__XRRA1
3003258,YDJC,TIFAB,TIFAB__YDJC
3003259,YPEL2,TIFAB,TIFAB__YPEL2
3003260,ZAN,TIFAB,TIFAB__ZAN
3003261,ZAR1,TIFAB,TIFAB__ZAR1
3003262,TIFAB,ZBED2,TIFAB__ZBED2
3003263,ZBTB37,TIFAB,TIFAB__ZBTB37
3003264,ZC3H11B,TIFAB,TIFAB__ZC3H11B
3003265,ZC3H11C,TIFAB,TIFAB__ZC3H11C
3003266,ZC3H6,TIFAB,TIFAB__ZC3H6
3003267,TIFAB,ZCCHC13,TIFAB__ZCCHC13
3003268,ZCCHC18,TIFAB,TIFAB__ZCCHC18
3003269,ZDHHC11B,TIFAB,TIFAB__ZDHHC11B
3003270,ZDHHC16,TIFAB,TIFAB__ZDHHC16
3003271,TIFAB,ZDHHC2,TIFAB__ZDHHC2
3003272,ZDHHC4,TIFAB,TIFAB__ZDHHC4
3003273,ZFAT,TIFAB,TIFAB__ZFAT
3003274,ZFP28,TIFAB,TIFAB__ZFP28
3003275,ZFP3,TIFAB,TIFAB__ZFP3
3003276,TIFAB,ZFP37,TIFAB__ZFP37
3003277,ZFR2,TIFAB,TIFAB__ZFR2
3003278,ZFYVE28,TIFAB,TIFAB__ZFYVE28
3003279,TIFAB,ZGLP1,TIFAB__ZGLP1
3003280,TIFAB,ZIC4,TIFAB__ZIC4
3003281,ZIM3,TIFAB,TIFAB__ZIM3
3003282,ZKSCAN2,TIFAB,TIFAB__ZKSCAN2
3003283,ZNF112,TIFAB,TIFAB__ZNF112
3003284,TIFAB,ZNF117,TIFAB__ZNF117
3003285,ZNF134,TIFAB,TIFAB__ZNF134
3003286,ZNF155,TIFAB,TIFAB__ZNF155
3003287,TIFAB,ZNF208,TIFAB__ZNF208
3003288,ZNF221,TIFAB,TIFAB__ZNF221
3003289,TIFAB,ZNF236,TIFAB__ZNF236
3003290,ZNF253,TIFAB,TIFAB__ZNF253
3003291,ZNF256,TIFAB,TIFAB__ZNF256
3003292,ZNF257,TIFAB,TIFAB__ZNF257
3003293,TIFAB,ZNF28,TIFAB__ZNF28
3003294,ZNF280B,TIFAB,TIFAB__ZNF280B
3003295,ZNF283,TIFAB,TIFAB__ZNF283
3003296,ZNF285,TIFAB,TIFAB__ZNF285
3003297,TIFAB,ZNF311,TIFAB__ZNF311
3003298,ZNF322,TIFAB,TIFAB__ZNF322
3003299,TIFAB,ZNF354B,TIFAB__ZNF354B
3003300,ZNF391,TIFAB,TIFAB__ZNF391
3003301,ZNF404,TIFAB,TIFAB__ZNF404
3003302,ZNF415,TIFAB,TIFAB__ZNF415
3003303,ZNF416,TIFAB,TIFAB__ZNF416
3003304,ZNF425,TIFAB,TIFAB__ZNF425
3003305,ZNF43,TIFAB,TIFAB__ZNF43
3003306,ZNF442,TIFAB,TIFAB__ZNF442
3003307,ZNF443,TIFAB,TIFAB__ZNF443
3003308,TIFAB,ZNF469,TIFAB__ZNF469
3003309,ZNF470,TIFAB,TIFAB__ZNF470
3003310,ZNF486,TIFAB,TIFAB__ZNF486
3003311,ZNF487,TIFAB,TIFAB__ZNF487
3003312,TIFAB,ZNF493,TIFAB__ZNF493
3003313,TIFAB,ZNF501,TIFAB__ZNF501
3003314,ZNF519,TIFAB,TIFAB__ZNF519
3003315,ZNF525,TIFAB,TIFAB__ZNF525
3003316,TIFAB,ZNF530,TIFAB__ZNF530
3003317,ZNF534,TIFAB,TIFAB__ZNF534
3003318,TIFAB,ZNF541,TIFAB__ZNF541
3003319,ZNF546,TIFAB,TIFAB__ZNF546
3003320,TIFAB,ZNF548,TIFAB__ZNF548
3003321,ZNF551,TIFAB,TIFAB__ZNF551
3003322,TIFAB,ZNF568,TIFAB__ZNF568
3003323,ZNF570,TIFAB,TIFAB__ZNF570
3003324,TIFAB,ZNF577,TIFAB__ZNF577
3003325,TIFAB,ZNF585B,TIFAB__ZNF585B
3003326,ZNF586,TIFAB,TIFAB__ZNF586
3003327,ZNF587B,TIFAB,TIFAB__ZNF587B
3003328,TIFAB,ZNF596,TIFAB__ZNF596
3003329,TIFAB,ZNF600,TIFAB__ZNF600
3003330,ZNF605,TIFAB,TIFAB__ZNF605
3003331,ZNF619,TIFAB,TIFAB__ZNF619
3003332,TIFAB,ZNF623,TIFAB__ZNF623
3003333,TIFAB,ZNF626,TIFAB__ZNF626
3003334,ZNF654,TIFAB,TIFAB__ZNF654
3003335,TIFAB,ZNF66,TIFAB__ZNF66
3003336,TIFAB,ZNF665,TIFAB__ZNF665
3003337,ZNF671,TIFAB,TIFAB__ZNF671
3003338,TIFAB,ZNF676,TIFAB__ZNF676
3003339,TIFAB,ZNF678,TIFAB__ZNF678
3003340,TIFAB,ZNF701,TIFAB__ZNF701
3003341,ZNF705D,TIFAB,TIFAB__ZNF705D
3003342,ZNF710,TIFAB,TIFAB__ZNF710
3003343,TIFAB,ZNF713,TIFAB__ZNF713
3003344,ZNF717,TIFAB,TIFAB__ZNF717
3003345,ZNF721,TIFAB,TIFAB__ZNF721
3003346,ZNF727,TIFAB,TIFAB__ZNF727
3003347,ZNF732,TIFAB,TIFAB__ZNF732
3003348,ZNF735,TIFAB,TIFAB__ZNF735
3003349,TIFAB,ZNF736,TIFAB__ZNF736
3003350,ZNF749,TIFAB,TIFAB__ZNF749
3003351,TIFAB,ZNF763,TIFAB__ZNF763
3003352,ZNF781,TIFAB,TIFAB__ZNF781
3003353,ZNF782,TIFAB,TIFAB__ZNF782
3003354,ZNF789,TIFAB,TIFAB__ZNF789
3003355,ZNF790,TIFAB,TIFAB__ZNF790
3003356,ZNF799,TIFAB,TIFAB__ZNF799
3003357,ZNF804B,TIFAB,TIFAB__ZNF804B
3003358,TIFAB,ZNF81,TIFAB__ZNF81
3003359,ZNF831,TIFAB,TIFAB__ZNF831
3003360,TIFAB,ZNF836,TIFAB__ZNF836
3003361,ZNF841,TIFAB,TIFAB__ZNF841
3003362,ZNF846,TIFAB,TIFAB__ZNF846
3003363,ZNF85,TIFAB,TIFAB__ZNF85
3003364,ZNF860,TIFAB,TIFAB__ZNF860
3003365,TIFAB,ZNF862,TIFAB__ZNF862
3003366,TIFAB,ZNF878,TIFAB__ZNF878
3003367,ZNF883,TIFAB,TIFAB__ZNF883
3003368,TIFAB,ZNF891,TIFAB__ZNF891
3003369,ZNF90,TIFAB,TIFAB__ZNF90
3003370,TIFAB,ZNF93,TIFAB__ZNF93
3003371,TIFAB,ZNF99,TIFAB__ZNF99
3003372,ZNG1C,TIFAB,TIFAB__ZNG1C
3003373,ZP1,TIFAB,TIFAB__ZP1
3003374,ZPBP,TIFAB,TIFAB__ZPBP
3003375,TIFAB,ZSCAN10,TIFAB__ZSCAN10
3003376,ZSCAN5B,TIFAB,TIFAB__ZSCAN5B
3003377,TIFAB,ZSWIM1,TIFAB__ZSWIM1
3003378,ZSWIM2,TIFAB,TIFAB__ZSWIM2
3003379,ZSWIM4,TIFAB,TIFAB__ZSWIM4
3003380,TIFAB,ZSWIM5,TIFAB__ZSWIM5
3003381,ZSWIM6,TIFAB,TIFAB__ZSWIM6
3003382,TIGD1,TINCR,TIGD1__TINCR
3003383,TIGD1,TMC2,TIGD1__TMC2
3003384,TIGD1,TMEM114,TIGD1__TMEM114
3003385,TIGD1,TMEM121B,TIGD1__TMEM121B
3003386,TIGD1,TMEM132B,TIGD1__TMEM132B
3003387,TIGD1,TMEM138,TIGD1__TMEM138
3003388,TIGD1,TMEM151A,TIGD1__TMEM151A
3003389,TIGD1,TMEM158,TIGD1__TMEM158
3003390,TIGD1,TMEM185B,TIGD1__TMEM185B
3003391,TIGD1,TMEM89,TIGD1__TMEM89
3003392,TMEM91,TIGD1,TIGD1__TMEM91
3003393,TIGD1,TMSB15A,TIGD1__TMSB15A
3003394,TIGD1,TOP6BL,TIGD1__TOP6BL
3003395,TIGD1,TPBGL,TIGD1__TPBGL
3003396,TIGD1,TRBV12-3,TIGD1__TRBV12-3
3003397,TIGD1,TRBV13,TIGD1__TRBV13
3003398,TIGD1,TREH,TIGD1__TREH
3003399,TIGD1,TRIM43B,TIGD1__TRIM43B
3003400,TIGD1,TRIM61,TIGD1__TRIM61
3003401,TRNP1,TIGD1,TIGD1__TRNP1
3003402,TIGD1,TUG1,TIGD1__TUG1
3003403,TIGD1,UCMA,TIGD1__UCMA
3003404,TIGD1,UGT2A1,TIGD1__UGT2A1
3003405,TIGD1,UGT2A2,TIGD1__UGT2A2
3003406,TIGD1,UROC1,TIGD1__UROC1
3003407,TIGD1,USP17L12,TIGD1__USP17L12
3003408,TIGD1,USP17L3,TIGD1__USP17L3
3003409,TIGD1,ZAR1,TIGD1__ZAR1
3003410,TIGD1,ZC3H11B,TIGD1__ZC3H11B
3003411,TIGD1,ZC3H12B,TIGD1__ZC3H12B
3003412,ZDHHC11B,TIGD1,TIGD1__ZDHHC11B
3003413,TIGD1,ZFP3,TIGD1__ZFP3
3003414,TIGD1,ZFR2,TIGD1__ZFR2
3003415,TIGD1,ZNF117,TIGD1__ZNF117
3003416,TIGD1,ZNF208,TIGD1__ZNF208
3003417,TIGD1,ZNF257,TIGD1__ZNF257
3003418,TIGD1,ZNF285,TIGD1__ZNF285
3003419,ZNF404,TIGD1,TIGD1__ZNF404
3003420,TIGD1,ZNF519,TIGD1__ZNF519
3003421,TIGD1,ZNF596,TIGD1__ZNF596
3003422,TIGD1,ZNF619,TIGD1__ZNF619
3003423,TIGD1,ZNF676,TIGD1__ZNF676
3003424,ZNF727,TIGD1,TIGD1__ZNF727
3003425,TIGD1,ZNF789,TIGD1__ZNF789
3003426,TIGD1,ZNF841,TIGD1__ZNF841
3003427,TIGD1,ZNF883,TIGD1__ZNF883
3003428,TIGD1,ZNF90,TIGD1__ZNF90
3003429,TIGD1,ZSWIM4,TIGD1__ZSWIM4
3003430,TIGD2,TLCD3B,TIGD2__TLCD3B
3003431,TMEM114,TIGD2,TIGD2__TMEM114
3003432,TMEM121B,TIGD2,TIGD2__TMEM121B
3003433,TMEM138,TIGD2,TIGD2__TMEM138
3003434,TMEM151A,TIGD2,TIGD2__TMEM151A
3003435,TMEM156,TIGD2,TIGD2__TMEM156
3003436,TMEM158,TIGD2,TIGD2__TMEM158
3003437,TMEM185B,TIGD2,TIGD2__TMEM185B
3003438,TIGD2,TMEM200B,TIGD2__TMEM200B
3003439,TIGD2,TMEM89,TIGD2__TMEM89
3003440,TIGD2,TMEM91,TIGD2__TMEM91
3003441,TIGD2,TMPRSS15,TIGD2__TMPRSS15
3003442,TMSB15A,TIGD2,TIGD2__TMSB15A
3003443,TIGD2,TNFAIP8L3,TIGD2__TNFAIP8L3
3003444,TIGD2,TNFSF4,TIGD2__TNFSF4
3003445,TPBGL,TIGD2,TIGD2__TPBGL
3003446,TIGD2,TPSG1,TIGD2__TPSG1
3003447,TIGD2,TRAV24,TIGD2__TRAV24
3003448,TIGD2,TRAV7,TIGD2__TRAV7
3003449,TIGD2,TRBC2,TIGD2__TRBC2
3003450,TRBV12-3,TIGD2,TIGD2__TRBV12-3
3003451,TIGD2,TRBV25-1,TIGD2__TRBV25-1
3003452,TIGD2,TRH,TIGD2__TRH
3003453,TRIM61,TIGD2,TIGD2__TRIM61
3003454,TRNP1,TIGD2,TIGD2__TRNP1
3003455,TIGD2,TSKU,TIGD2__TSKU
3003456,TIGD2,TSPAN32,TIGD2__TSPAN32
3003457,TIGD2,TSPAN9,TIGD2__TSPAN9
3003458,TIGD2,TSPEAR,TIGD2__TSPEAR
3003459,TIGD2,TSPY8,TIGD2__TSPY8
3003460,TTLL2,TIGD2,TIGD2__TTLL2
3003461,TUG1,TIGD2,TIGD2__TUG1
3003462,UCMA,TIGD2,TIGD2__UCMA
3003463,TIGD2,UCN2,TIGD2__UCN2
3003464,TIGD2,UCP1,TIGD2__UCP1
3003465,UGT2A1,TIGD2,TIGD2__UGT2A1
3003466,UGT2A2,TIGD2,TIGD2__UGT2A2
3003467,TIGD2,UGT2B17,TIGD2__UGT2B17
3003468,UROC1,TIGD2,TIGD2__UROC1
3003469,USP17L23,TIGD2,TIGD2__USP17L23
3003470,TIGD2,UTS2R,TIGD2__UTS2R
3003471,TIGD2,VGLL2,TIGD2__VGLL2
3003472,TIGD2,WFDC10B,TIGD2__WFDC10B
3003473,TIGD2,ZAN,TIGD2__ZAN
3003474,ZAR1,TIGD2,TIGD2__ZAR1
3003475,ZC3H11B,TIGD2,TIGD2__ZC3H11B
3003476,ZC3H11C,TIGD2,TIGD2__ZC3H11C
3003477,TIGD2,ZGLP1,TIGD2__ZGLP1
3003478,ZNF117,TIGD2,TIGD2__ZNF117
3003479,TIGD2,ZNF134,TIGD2__ZNF134
3003480,ZNF208,TIGD2,TIGD2__ZNF208
3003481,ZNF283,TIGD2,TIGD2__ZNF283
3003482,ZNF285,TIGD2,TIGD2__ZNF285
3003483,ZNF425,TIGD2,TIGD2__ZNF425
3003484,ZNF470,TIGD2,TIGD2__ZNF470
3003485,ZNF487,TIGD2,TIGD2__ZNF487
3003486,ZNF519,TIGD2,TIGD2__ZNF519
3003487,TIGD2,ZNF530,TIGD2__ZNF530
3003488,ZNF546,TIGD2,TIGD2__ZNF546
3003489,ZNF551,TIGD2,TIGD2__ZNF551
3003490,ZNF619,TIGD2,TIGD2__ZNF619
3003491,TIGD2,ZNF671,TIGD2__ZNF671
3003492,ZNF705D,TIGD2,TIGD2__ZNF705D
3003493,TIGD2,ZNF735,TIGD2__ZNF735
3003494,ZNF789,TIGD2,TIGD2__ZNF789
3003495,ZNF841,TIGD2,TIGD2__ZNF841
3003496,TIGD2,ZNF860,TIGD2__ZNF860
3003497,ZNF878,TIGD2,TIGD2__ZNF878
3003498,ZNF883,TIGD2,TIGD2__ZNF883
3003499,TIGD2,ZNF99,TIGD2__ZNF99
3003500,ZP1,TIGD2,TIGD2__ZP1
3003501,TIGD2,ZPBP,TIGD2__ZPBP
3003502,TMC2,TIGD3,TIGD3__TMC2
3003503,TIGD3,TMEM114,TIGD3__TMEM114
3003504,TMEM121B,TIGD3,TIGD3__TMEM121B
3003505,TMEM132D,TIGD3,TIGD3__TMEM132D
3003506,TIGD3,TMEM138,TIGD3__TMEM138
3003507,TMEM151A,TIGD3,TIGD3__TMEM151A
3003508,TMEM158,TIGD3,TIGD3__TMEM158
3003509,TMEM185B,TIGD3,TIGD3__TMEM185B
3003510,TMEM225,TIGD3,TIGD3__TMEM225
3003511,TMEM225B,TIGD3,TIGD3__TMEM225B
3003512,TMEM89,TIGD3,TIGD3__TMEM89
3003513,TMEM91,TIGD3,TIGD3__TMEM91
3003514,TMPRSS11F,TIGD3,TIGD3__TMPRSS11F
3003515,TOP6BL,TIGD3,TIGD3__TOP6BL
3003516,TPBGL,TIGD3,TIGD3__TPBGL
3003517,TRAV7,TIGD3,TIGD3__TRAV7
3003518,TRBC2,TIGD3,TIGD3__TRBC2
3003519,TRBV12-3,TIGD3,TIGD3__TRBV12-3
3003520,TRBV13,TIGD3,TIGD3__TRBV13
3003521,TREH,TIGD3,TIGD3__TREH
3003522,TIGD3,TRIM61,TIGD3__TRIM61
3003523,TRIM77,TIGD3,TIGD3__TRIM77
3003524,TRNP1,TIGD3,TIGD3__TRNP1
3003525,TUG1,TIGD3,TIGD3__TUG1
3003526,UBE2QL1,TIGD3,TIGD3__UBE2QL1
3003527,UGT2A1,TIGD3,TIGD3__UGT2A1
3003528,UGT2A2,TIGD3,TIGD3__UGT2A2
3003529,UGT2B17,TIGD3,TIGD3__UGT2B17
3003530,URAD,TIGD3,TIGD3__URAD
3003531,UROC1,TIGD3,TIGD3__UROC1
3003532,VN1R2,TIGD3,TIGD3__VN1R2
3003533,VSIG10L,TIGD3,TIGD3__VSIG10L
3003534,VSTM2B,TIGD3,TIGD3__VSTM2B
3003535,XPNPEP2,TIGD3,TIGD3__XPNPEP2
3003536,ZAN,TIGD3,TIGD3__ZAN
3003537,ZAR1,TIGD3,TIGD3__ZAR1
3003538,ZC3H11C,TIGD3,TIGD3__ZC3H11C
3003539,ZC3H12B,TIGD3,TIGD3__ZC3H12B
3003540,ZCCHC18,TIGD3,TIGD3__ZCCHC18
3003541,TIGD3,ZDHHC11B,TIGD3__ZDHHC11B
3003542,ZFP3,TIGD3,TIGD3__ZFP3
3003543,ZGLP1,TIGD3,TIGD3__ZGLP1
3003544,ZNF117,TIGD3,TIGD3__ZNF117
3003545,ZNF208,TIGD3,TIGD3__ZNF208
3003546,ZNF285,TIGD3,TIGD3__ZNF285
3003547,ZNF385D,TIGD3,TIGD3__ZNF385D
3003548,ZNF404,TIGD3,TIGD3__ZNF404
3003549,TIGD3,ZNF470,TIGD3__ZNF470
3003550,ZNF519,TIGD3,TIGD3__ZNF519
3003551,ZNF530,TIGD3,TIGD3__ZNF530
3003552,ZNF570,TIGD3,TIGD3__ZNF570
3003553,ZNF596,TIGD3,TIGD3__ZNF596
3003554,ZNF619,TIGD3,TIGD3__ZNF619
3003555,ZNF654,TIGD3,TIGD3__ZNF654
3003556,ZNF705D,TIGD3,TIGD3__ZNF705D
3003557,ZNF705G,TIGD3,TIGD3__ZNF705G
3003558,ZNF735,TIGD3,TIGD3__ZNF735
3003559,ZNF736,TIGD3,TIGD3__ZNF736
3003560,ZNF878,TIGD3,TIGD3__ZNF878
3003561,ZNF883,TIGD3,TIGD3__ZNF883
3003562,ZNF90,TIGD3,TIGD3__ZNF90
3003563,ZSWIM4,TIGD3,TIGD3__ZSWIM4
3003564,TIGD4,TINCR,TIGD4__TINCR
3003565,TIGD4,TLCD3B,TIGD4__TLCD3B
3003566,TM7SF3,TIGD4,TIGD4__TM7SF3
3003567,TIGD4,TMC2,TIGD4__TMC2
3003568,TIGD4,TMC3,TIGD4__TMC3
3003569,TMEM114,TIGD4,TIGD4__TMEM114
3003570,TMEM121B,TIGD4,TIGD4__TMEM121B
3003571,TIGD4,TMEM132B,TIGD4__TMEM132B
3003572,TIGD4,TMEM132E,TIGD4__TMEM132E
3003573,TIGD4,TMEM138,TIGD4__TMEM138
3003574,TMEM151A,TIGD4,TIGD4__TMEM151A
3003575,TIGD4,TMEM158,TIGD4__TMEM158
3003576,TMEM178A,TIGD4,TIGD4__TMEM178A
3003577,TIGD4,TMEM185B,TIGD4__TMEM185B
3003578,TIGD4,TMEM200B,TIGD4__TMEM200B
3003579,TIGD4,TMEM225B,TIGD4__TMEM225B
3003580,TIGD4,TMEM232,TIGD4__TMEM232
3003581,TIGD4,TMEM52,TIGD4__TMEM52
3003582,TIGD4,TMEM64,TIGD4__TMEM64
3003583,TIGD4,TMEM74B,TIGD4__TMEM74B
3003584,TIGD4,TMEM89,TIGD4__TMEM89
3003585,TIGD4,TMEM91,TIGD4__TMEM91
3003586,TMPRSS11F,TIGD4,TIGD4__TMPRSS11F
3003587,TMPRSS7,TIGD4,TIGD4__TMPRSS7
3003588,TMSB15A,TIGD4,TIGD4__TMSB15A
3003589,TNN,TIGD4,TIGD4__TNN
3003590,TIGD4,TOP6BL,TIGD4__TOP6BL
3003591,TIGD4,TP53AIP1,TIGD4__TP53AIP1
3003592,TIGD4,TPBGL,TIGD4__TPBGL
3003593,TPSG1,TIGD4,TIGD4__TPSG1
3003594,TRAV24,TIGD4,TIGD4__TRAV24
3003595,TRBC2,TIGD4,TIGD4__TRBC2
3003596,TRBV12-3,TIGD4,TIGD4__TRBV12-3
3003597,TIGD4,TRBV13,TIGD4__TRBV13
3003598,TIGD4,TRBV2,TIGD4__TRBV2
3003599,TRBV25-1,TIGD4,TIGD4__TRBV25-1
3003600,TIGD4,TREH,TIGD4__TREH
3003601,TIGD4,TRH,TIGD4__TRH
3003602,TIGD4,TRIM43B,TIGD4__TRIM43B
3003603,TIGD4,TRIM48,TIGD4__TRIM48
3003604,TRIM6-TRIM34,TIGD4,TIGD4__TRIM6-TRIM34
3003605,TRIM61,TIGD4,TIGD4__TRIM61
3003606,TRIM77,TIGD4,TIGD4__TRIM77
3003607,TIGD4,TRNP1,TIGD4__TRNP1
3003608,TIGD4,TRPM5,TIGD4__TRPM5
3003609,TSGA13,TIGD4,TIGD4__TSGA13
3003610,TIGD4,TSKU,TIGD4__TSKU
3003611,TIGD4,TSPAN32,TIGD4__TSPAN32
3003612,TIGD4,TSPEAR,TIGD4__TSPEAR
3003613,TIGD4,TSPY8,TIGD4__TSPY8
3003614,TTC22,TIGD4,TIGD4__TTC22
3003615,TIGD4,TTC39C,TIGD4__TTC39C
3003616,TIGD4,TTC9,TIGD4__TTC9
3003617,TIGD4,TTLL2,TIGD4__TTLL2
3003618,TUG1,TIGD4,TIGD4__TUG1
3003619,UBALD1,TIGD4,TIGD4__UBALD1
3003620,TIGD4,UCMA,TIGD4__UCMA
3003621,TIGD4,UCN2,TIGD4__UCN2
3003622,TIGD4,UCP1,TIGD4__UCP1
3003623,UGT2A1,TIGD4,TIGD4__UGT2A1
3003624,TIGD4,UGT2A2,TIGD4__UGT2A2
3003625,TIGD4,UGT2B17,TIGD4__UGT2B17
3003626,TIGD4,UPK3A,TIGD4__UPK3A
3003627,TIGD4,UQCRHL,TIGD4__UQCRHL
3003628,TIGD4,UROC1,TIGD4__UROC1
3003629,USP17L1,TIGD4,TIGD4__USP17L1
3003630,TIGD4,USP17L12,TIGD4__USP17L12
3003631,USP17L23,TIGD4,TIGD4__USP17L23
3003632,USP17L3,TIGD4,TIGD4__USP17L3
3003633,TIGD4,USP17L5,TIGD4__USP17L5
3003634,UTF1,TIGD4,TIGD4__UTF1
3003635,TIGD4,UTS2R,TIGD4__UTS2R
3003636,TIGD4,VN1R2,TIGD4__VN1R2
3003637,TIGD4,VN1R5,TIGD4__VN1R5
3003638,TIGD4,VSIG10L,TIGD4__VSIG10L
3003639,VSTM2B,TIGD4,TIGD4__VSTM2B
3003640,VWA5B1,TIGD4,TIGD4__VWA5B1
3003641,VWA7,TIGD4,TIGD4__VWA7
3003642,WDR49,TIGD4,TIGD4__WDR49
3003643,TIGD4,WFDC13,TIGD4__WFDC13
3003644,WFDC3,TIGD4,TIGD4__WFDC3
3003645,TIGD4,XCR1,TIGD4__XCR1
3003646,XKR3,TIGD4,TIGD4__XKR3
3003647,XKR5,TIGD4,TIGD4__XKR5
3003648,TIGD4,XKRY,TIGD4__XKRY
3003649,TIGD4,XPNPEP2,TIGD4__XPNPEP2
3003650,ZAR1,TIGD4,TIGD4__ZAR1
3003651,TIGD4,ZBED2,TIGD4__ZBED2
3003652,TIGD4,ZC3H12B,TIGD4__ZC3H12B
3003653,TIGD4,ZDHHC11B,TIGD4__ZDHHC11B
3003654,TIGD4,ZFAT,TIGD4__ZFAT
3003655,TIGD4,ZFR2,TIGD4__ZFR2
3003656,TIGD4,ZFYVE28,TIGD4__ZFYVE28
3003657,TIGD4,ZGLP1,TIGD4__ZGLP1
3003658,TIGD4,ZIC5,TIGD4__ZIC5
3003659,ZIK1,TIGD4,TIGD4__ZIK1
3003660,TIGD4,ZIM3,TIGD4__ZIM3
3003661,ZNF117,TIGD4,TIGD4__ZNF117
3003662,TIGD4,ZNF134,TIGD4__ZNF134
3003663,ZNF182,TIGD4,TIGD4__ZNF182
3003664,TIGD4,ZNF208,TIGD4__ZNF208
3003665,TIGD4,ZNF257,TIGD4__ZNF257
3003666,TIGD4,ZNF285,TIGD4__ZNF285
3003667,ZNF385D,TIGD4,TIGD4__ZNF385D
3003668,TIGD4,ZNF404,TIGD4__ZNF404
3003669,TIGD4,ZNF425,TIGD4__ZNF425
3003670,ZNF470,TIGD4,TIGD4__ZNF470
3003671,TIGD4,ZNF487,TIGD4__ZNF487
3003672,TIGD4,ZNF493,TIGD4__ZNF493
3003673,ZNF519,TIGD4,TIGD4__ZNF519
3003674,ZNF534,TIGD4,TIGD4__ZNF534
3003675,ZNF548,TIGD4,TIGD4__ZNF548
3003676,TIGD4,ZNF570,TIGD4__ZNF570
3003677,TIGD4,ZNF571,TIGD4__ZNF571
3003678,ZNF596,TIGD4,TIGD4__ZNF596
3003679,ZNF606,TIGD4,TIGD4__ZNF606
3003680,ZNF619,TIGD4,TIGD4__ZNF619
3003681,TIGD4,ZNF626,TIGD4__ZNF626
3003682,TIGD4,ZNF671,TIGD4__ZNF671
3003683,ZNF676,TIGD4,TIGD4__ZNF676
3003684,TIGD4,ZNF705D,TIGD4__ZNF705D
3003685,TIGD4,ZNF710,TIGD4__ZNF710
3003686,TIGD4,ZNF727,TIGD4__ZNF727
3003687,TIGD4,ZNF735,TIGD4__ZNF735
3003688,TIGD4,ZNF782,TIGD4__ZNF782
3003689,TIGD4,ZNF789,TIGD4__ZNF789
3003690,ZNF831,TIGD4,TIGD4__ZNF831
3003691,TIGD4,ZNF836,TIGD4__ZNF836
3003692,TIGD4,ZNF841,TIGD4__ZNF841
3003693,TIGD4,ZNF846,TIGD4__ZNF846
3003694,TIGD4,ZNF860,TIGD4__ZNF860
3003695,ZNF878,TIGD4,TIGD4__ZNF878
3003696,ZNF883,TIGD4,TIGD4__ZNF883
3003697,ZNF90,TIGD4,TIGD4__ZNF90
3003698,TIGD4,ZNF99,TIGD4__ZNF99
3003699,TIGD4,ZNG1C,TIGD4__ZNG1C
3003700,TIGD4,ZP1,TIGD4__ZP1
3003701,ZSCAN10,TIGD4,TIGD4__ZSCAN10
3003702,ZSWIM4,TIGD4,TIGD4__ZSWIM4
3003703,TMEM114,TIGD7,TIGD7__TMEM114
3003704,TIGD7,TMEM121B,TIGD7__TMEM121B
3003705,TIGD7,TMEM132E,TIGD7__TMEM132E
3003706,TMEM138,TIGD7,TIGD7__TMEM138
3003707,TIGD7,TMEM151A,TIGD7__TMEM151A
3003708,TMEM158,TIGD7,TIGD7__TMEM158
3003709,TMEM185B,TIGD7,TIGD7__TMEM185B
3003710,TMEM225B,TIGD7,TIGD7__TMEM225B
3003711,TMEM89,TIGD7,TIGD7__TMEM89
3003712,TIGD7,TMEM91,TIGD7__TMEM91
3003713,TIGD7,TMPRSS11F,TIGD7__TMPRSS11F
3003714,TMSB15A,TIGD7,TIGD7__TMSB15A
3003715,TNFAIP8L3,TIGD7,TIGD7__TNFAIP8L3
3003716,TIGD7,TNFSF4,TIGD7__TNFSF4
3003717,TOP6BL,TIGD7,TIGD7__TOP6BL
3003718,TIGD7,TP53AIP1,TIGD7__TP53AIP1
3003719,TPBGL,TIGD7,TIGD7__TPBGL
3003720,TIGD7,TPSG1,TIGD7__TPSG1
3003721,TIGD7,TRAV24,TIGD7__TRAV24
3003722,TRAV7,TIGD7,TIGD7__TRAV7
3003723,TRBC2,TIGD7,TIGD7__TRBC2
3003724,TIGD7,TRBV12-3,TIGD7__TRBV12-3
3003725,TIGD7,TRBV25-1,TIGD7__TRBV25-1
3003726,TREH,TIGD7,TIGD7__TREH
3003727,TIGD7,TRH,TIGD7__TRH
3003728,TIGD7,TRIM61,TIGD7__TRIM61
3003729,TRIM77,TIGD7,TIGD7__TRIM77
3003730,TRNP1,TIGD7,TIGD7__TRNP1
3003731,TSKU,TIGD7,TIGD7__TSKU
3003732,TIGD7,TSPAN32,TIGD7__TSPAN32
3003733,TSPEAR,TIGD7,TIGD7__TSPEAR
3003734,TIGD7,TSPY8,TIGD7__TSPY8
3003735,TTC22,TIGD7,TIGD7__TTC22
